codigo_sede,nombre_sede,año,desercion
1201,Sede Principal Medellín,2010,9.69
1201,Sede Principal Medellín,2011,11.04
1201,Sede Principal Medellín,2012,10.89
1201,Sede Principal Medellín,2013,10.15
1201,Sede Principal Medellín,2014,8.73
1201,Sede Principal Medellín,2015,10.7
1201,Sede Principal Medellín,2016,9.17
1201,Sede Principal Medellín,2017,8.52
1201,Sede Principal Medellín,2018,9.2
1201,Sede Principal Medellín,2019,10.2
1201,Sede Principal Medellín,2020,12.05
1201,Sede Principal Medellín,2021,7.74
1201,Sede Principal Medellín,2022,9.59
1219,Sede Regional Oriente,2010,15.81
1219,Sede Regional Oriente,2011,5.37
1219,Sede Regional Oriente,2012,2.99
1219,Sede Regional Oriente,2013,5.84
1219,Sede Regional Oriente,2014,9.4
1219,Sede Regional Oriente,2015,9.38
1219,Sede Regional Oriente,2016,5.82
1219,Sede Regional Oriente,2017,4.51
1219,Sede Regional Oriente,2018,5.48
1219,Sede Regional Oriente,2019,7.68
1219,Sede Regional Oriente,2020,15.85
1219,Sede Regional Oriente,2021,23.34
1219,Sede Regional Oriente,2022,10.9
1220,Sede Regional Norte,2010,15.85
1220,Sede Regional Norte,2011,12.03
1220,Sede Regional Norte,2012,12.8
1220,Sede Regional Norte,2013,5.48
1220,Sede Regional Norte,2014,4.12
1220,Sede Regional Norte,2015,9.71
1220,Sede Regional Norte,2016,17.11
1220,Sede Regional Norte,2017,10.94
1220,Sede Regional Norte,2018,10.91
1220,Sede Regional Norte,2019,6.3
1220,Sede Regional Norte,2020,11.48
1220,Sede Regional Norte,2021,6.44
1220,Sede Regional Norte,2022,7.8
1221,Sede Regional Occidente,2010,14.42
1221,Sede Regional Occidente,2011,3.58
1221,Sede Regional Occidente,2012,6.33
1221,Sede Regional Occidente,2013,12.98
1221,Sede Regional Occidente,2014,8.67
1221,Sede Regional Occidente,2015,2.27
1221,Sede Regional Occidente,2016,6.4
1221,Sede Regional Occidente,2017,7.14
1221,Sede Regional Occidente,2018,14.39
1221,Sede Regional Occidente,2019,12.62
1221,Sede Regional Occidente,2020,10.81
1221,Sede Regional Occidente,2021,6.67
1221,Sede Regional Occidente,2022,12.55
1222,Sede Regional Magdalena Medio,2010,7.1
1222,Sede Regional Magdalena Medio,2012,2.97
1222,Sede Regional Magdalena Medio,2013,4.55
1222,Sede Regional Magdalena Medio,2014,14.86
1222,Sede Regional Magdalena Medio,2015,13.54
1222,Sede Regional Magdalena Medio,2016,1.72
1222,Sede Regional Magdalena Medio,2017,0.0
1222,Sede Regional Magdalena Medio,2018,0.0
1222,Sede Regional Magdalena Medio,2019,4.94
1222,Sede Regional Magdalena Medio,2020,10.26
1222,Sede Regional Magdalena Medio,2021,11.11
1222,Sede Regional Magdalena Medio,2022,5.8
1223,Sede Regional Urabá,2010,14.18
1223,Sede Regional Urabá,2011,4.71
1223,Sede Regional Urabá,2012,6.36
1223,Sede Regional Urabá,2013,14.39
1223,Sede Regional Urabá,2014,8.22
1223,Sede Regional Urabá,2015,13.27
1223,Sede Regional Urabá,2016,9.76
1223,Sede Regional Urabá,2017,11.8
1223,Sede Regional Urabá,2018,4.61
1223,Sede Regional Urabá,2019,13.14
1223,Sede Regional Urabá,2020,8.87
1223,Sede Regional Urabá,2021,8.82
1223,Sede Regional Urabá,2022,8.7
9125,Sede Regional Bajo Cauca,2010,24.05
9125,Sede Regional Bajo Cauca,2011,5.33
9125,Sede Regional Bajo Cauca,2012,4.94
9125,Sede Regional Bajo Cauca,2013,11.45
9125,Sede Regional Bajo Cauca,2014,2.7
9125,Sede Regional Bajo Cauca,2015,1.98
9125,Sede Regional Bajo Cauca,2016,3.75
9125,Sede Regional Bajo Cauca,2017,6.9
9125,Sede Regional Bajo Cauca,2018,6.25
9125,Sede Regional Bajo Cauca,2019,16.67
9125,Sede Regional Bajo Cauca,2020,7.14
9125,Sede Regional Bajo Cauca,2021,7.55
9125,Sede Regional Bajo Cauca,2022,4.26
